채널,방송시작시간,방송종료시간,편성소요분,소요분,가중분,가중율(%),방송구분,프로그램명,특약방송구분,특약금액,목표취급금액,목표주문금액,목표공헌이익금액,주문수량,주문금액,공헌이익I금액,취급달성율(%),분당취급금액,조정분당주문금액,취소수량,취소금액,순주문수량,순주문금액,순주문달성율(%),분당순주문금액,조정분당순주문금액,방송예상취급금액,미리주문수량(TV),미리주문금액(TV),미리주문수량(MC),미리주문금액(MC),미리주문수량(EC),미리주문금액(EC),공헌이익율(%),공헌이익달성율(%),종합달성율(%),PD,SH,TD,복수브랜드여부,상품ID,상품명,브랜드ID,브랜드명,MD담당자ID,MD담당자명,매입과세구분,대분류,중분류,소분류,세분류,MDID,MD명,카테고리,부서코드,부서명,협력사ID,협력사명,운영사ID,운영사명,상품목표취급금액,상품목표주문금액,상품목표공헌이익금액,전환율,판매단가,매입단가,수수료율,상품주문수량,상품주문금액,상품취소수량,상품취소금액,상품순주문수량,상품순주문금액,상품예상취급금액,ARS금액,상품특약금액,예상취급달성율,상품종합달성율,미리주문수량(TV),미리주문금액(TV),미리주문수량(MC),미리주문금액(MC),미리주문수량(EC),미리주문금액(EC),창의혁신상품여부,창의구분,제품유형근거코드,매입형태,배송방식,신상품여부,재도전,기진행방송사,공헌이익I금액,분당주문금액,조정분당주문금액,조정분당순주문금액,분당순주문금액,상품소요분,상품가중분,상품소요분당취급금액,상품가중분당취급금액,상품방송순번,접수번호,입점제안일자,상품재등록여부,상품재등록사유,상품재등록사유기타설명,사회적기업여부,공헌이익I보정금액,공헌이익보정율(%),공헌이익보정달성율(%),상품공헌이익I보정금액,상품공헌이익보정율(%),상품공헌이익보정달성율(%),d
TV,43101.00694,43101.04167,50,50,52.7,105.46,녹화방송,재방_의류,해당없음,0,65645345,117223831,10947515,648,86284484,9150141,73.61,966386,1636242,73,9624136,575,76660348,65.4,1533207,1453736,48319311,0,0,12,1605450,0,0,18.94,83.58,75.6,,,,N,10242138,[비지트인뉴욕콜렉션] 퓨어 캐시미어 롱코트,36178,비지트인뉴욕코트,100120,김승미,과세,의류,여성의류,여성복,기타,1010,의류,의류,3111205,중기2팀,104532,(주)디케이앤코,104579,(주)디케이앤코,65645345,117223831,10947515,56,149000,111750,25,648,86284484,73,9624136,575,76660348,48319311,1000,0,73.61,75.6,0,0,12,1605450,0,0,N,일반,,위탁매입,협력사배송,N,N,,9150141,1725690,1636314,1453800,1533207,50,52.7,966386,916336,1,0,,N,,,,0,0,0,0,0,0,
TV,43101.04167,43101.08333,60,60,38.1,63.52,녹화방송,재방_건강식품,해당없음,0,47549699,58357509,7549974,200,32219095,5033369,55.21,437535,845276,16,2547305,184,29671790,50.85,494530,778447,26252119,0,0,2,313727,1,153727,19.17,66.67,57.5,,,,N,10092003,[한삼인]순홍삼진(50ml*30포)*7박스+쇼7_2,26356,한삼인순홍삼진,"146,912,146,924","심인혜,조진건",과세,식품,건강식품,전통건강식품,건강즙류,1019,건강기능식품,건강식품,3121405,190114_식품4팀,100002,농협경제지주㈜,100012,(주)농협홍삼서울지점,23774849,29178755,3774987,81.48,179000,132460,26,200,32219095,16,2547305,184,29671790,26252119,1000,0,110.42,115,0,0,2,313727,1,153727,N,일반,,위탁매입,직택배,N,Y,ns,5033369,1073970,1690759,1557084,989060,30,19.1,875071,1377630,1,0,,N,,,,0,0,0,0,0,0,
TV,43101.04167,43101.08333,60,60,38.1,63.52,녹화방송,재방_건강식품,해당없음,0,47549699,58357509,7549974,200,32219095,5033369,55.21,437535,845276,16,2547305,184,29671790,50.85,494530,778447,26252119,0,0,2,313727,1,153727,19.17,66.67,57.5,,,,N,10092743,[단품_한삼인] 순홍삼진(50ml*30포)*1박스,26356,한삼인순홍삼진,"146,912,146,924","심인혜,조진건",과세,식품,건강식품,전통건강식품,건강즙류,1019,건강기능식품,건강식품,3121405,190114_식품4팀,100002,농협경제지주㈜,100012,(주)농협홍삼서울지점,23774849,29178755,3774987,81.48,60000,44400,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,일반,,위탁매입,직택배,N,Y,ns,0,0,0,0,0,30,19.1,0,0,2,0,,N,,,,0,0,0,0,0,0,
TV,43101.08333,43101.125,60,60,19.7,32.83,재방송,재방_가공농산,해당없음,0,24568911,28904601,3556403,460,19860828,2927114,68.71,281362,1008164,25,1080206,435,18780622,64.98,313010,953331,16881704,0,0,7,301305,0,0,17.34,82.31,71.43,,,,N,10295865,이상용의 우리밀 크레마롤,36520,이상용크레마롤,"139,485,146,919","김병규,김진훈",과세,식품,가공식품,빵/떡/과자류,빵/쨈,1040,가공농산,가공농산,3121105,식품1팀,104640,(주)하일에프앤씨,104662,(주)금촌베이커리,24568911,28904601,3556403,85,48900,37164,24,460,19860828,25,1080206,435,18780622,16881704,1000,0,68.71,71.43,0,0,7,301305,0,0,N,창의혁신제품,정부시행 각종인증 수상기업상품,위탁매입,협력사배송,N,N,,2927114,331014,1008300,953460,313010,60,19.7,281362,857055,1,0,,N,,,,0,0,0,0,0,0,
TV,43101.125,43101.16667,60,60,16.1,26.89,재방송,재방_신선수산,해당없음,0,20131383,24550467,3196475,125,6090566,777951,24.81,83238,377514,5,238512,120,5852054,23.84,97534,362731,4994264,0,0,3,141700,0,0,15.58,24.34,24.71,,,,N,10113666,국내산 자숙 문어슬라이스 120g*9팩,27468,자숙문어슬라이스,100020,신대현,면세,식품,수산물,일반어류,문어,1021,신선수산,신선수산,3121305,190722_식품3팀,100004,수산업협동조합중앙회,104201,경양수산(주),20131383,24550467,3196475,82,49900,38922,22,125,6090566,5,238512,120,5852054,4994264,1000,0,24.81,24.71,0,0,3,141700,0,0,N,일반,,위탁매입,협력사배송,N,N,,777951,101509,377456,362674,97534,60,16.1,83238,309514,1,0,,N,,,,0,0,0,0,0,0,
TV,43101.16667,43101.20833,60,60,15.1,25.12,재방송,재방_건강식품,해당없음,0,18807388,23734715,2986250,185,26780861,4241515,112.83,353686,1777491,11,1566765,174,25214096,106.23,420235,1673502,21221154,2,277273,2,318182,0,0,19.99,142.04,118.67,,,,N,10112103,금산 홍삼농축액(50g*10병+쇼핑백3장)_3,20130,백제금산홍삼농축액,146912,심인혜,과세,식품,건강식품,홍삼/인삼,홍삼농축액,1019,건강기능식품,건강식품,3121405,190114_식품4팀,100002,농협경제지주㈜,100306,백제금산인삼협동조합,9403694,11867358,1493125,79.24,176000,131120,25.5,124,19700190,7,1100400,117,18599790,15610431,1000,0,166,174.68,1,160000,2,318182,0,0,N,일반,,위탁매입,협력사배송,N,N,,3126319,656673,2613739,2467743,619993,30,7.5,520348,2071127,1,0,,N,,,,0,0,0,0,0,0,
TV,43101.16667,43101.20833,60,60,15.1,25.12,재방송,재방_건강식품,해당없음,0,18807388,23734715,2986250,185,26780861,4241515,112.83,353686,1777491,11,1566765,174,25214096,106.23,420235,1673502,21221154,2,277273,2,318182,0,0,19.99,142.04,118.67,,,,N,10112105,금산 홍삼농축액(50g*6병+1병)_3,20130,백제금산홍삼농축액,146912,심인혜,과세,식품,건강식품,홍삼/인삼,홍삼농축액,1019,건강기능식품,건강식품,3121405,190114_식품4팀,100002,농협경제지주㈜,100306,백제금산인삼협동조합,9403694,11867358,1493125,79.24,129000,96105,25.5,61,7080671,4,466365,57,6614306,5610724,1000,0,59.67,62.67,1,117273,0,0,0,0,N,일반,,위탁매입,협력사배송,N,N,,1115196,236022,939434,877559,220477,30,7.5,187024,744408,2,0,,N,,,,0,0,0,0,0,0,
TV,43101.20833,43101.25,60,60,24,40.03,녹화방송,재방_건강식품,해당없음,0,29965092,38684601,4757878,291,24249574,3646298,62.69,313062,1009698,26,1941275,265,22308299,57.67,371805,928867,18783720,1,63545,0,0,0,0,19.41,76.64,65.48,,,,N,10074959,관절살리도M 24주분(6박스)_3,21688,관절살리도,146924,조진건,과세,식품,건강식품,건강기능식품,글루코사민함유제품,1020,건강일반식품,건강식품,3121405,190114_식품4팀,101030,(주)팜스빌,101036,(주)팜스빌,14982546,19342300,2378939,77.46,69900,52075,25.5,158,9900065,19,1184366,139,8715699,7668590,1000,0,51.18,53.29,1,63545,0,0,0,0,N,일반,,위탁매입,협력사배송,N,N,,1468523,330002,824410,725784,290523,30,12,255620,638588,1,0,,N,,,,0,0,0,0,0,0,
TV,43101.20833,43101.25,60,60,24,40.03,녹화방송,재방_건강식품,해당없음,0,29965092,38684601,4757878,291,24249574,3646298,62.69,313062,1009698,26,1941275,265,22308299,57.67,371805,928867,18783720,1,63545,0,0,0,0,19.41,76.64,65.48,,,,N,10079429,관절살리도M 48주분(12박스)_3,21688,관절살리도,146924,조진건,과세,식품,건강식품,건강기능식품,글루코사민함유제품,1020,건강일반식품,건강식품,3121405,190114_식품4팀,101030,(주)팜스빌,101036,(주)팜스빌,14982546,19342300,2378939,77.46,119800,89251,25.5,133,14349509,7,756909,126,13592600,11115130,1000,0,74.19,77.66,0,0,0,0,0,0,N,일반,,위탁매입,협력사배송,N,N,,2177775,478317,1194929,1131899,453087,30,12,370504,925592,2,0,,N,,,,0,0,0,0,0,0,
TV,43101.25,43101.30208,75,75,69.5,92.7,녹화방송,재방_의류,해당없음,0,86555768,158614199,14434696,1226,75933287,6911165,47.87,552491,1092042,55,3408952,1171,72524335,45.72,966991,1043015,41436795,1,62727,3,185454,0,0,16.68,47.88,47.87,,,,N,10060369,마담엘레강스 아나스타샤 기모 풀코디(총3종),24189,마담엘레강스상하의아나스타샤,100336,최유진,과세,의류,여성의류,여성복,세트,1010,의류,의류,3111205,중기2팀,100641,(주)네오킴,100666,(주)네오킴,86555768,158614199,14434696,54.57,69000,52440,24,1226,75933287,55,3408952,1171,72524335,41436795,1000,0,47.87,47.87,1,62727,3,185454,0,0,N,창의혁신제품,각종특허상품,위탁매입,협력사배송,N,N,,6911165,1012444,1092125,1043095,966991,75,69.5,552491,595973,1,0,,N,,,,0,0,0,0,0,0,
TV,43101.30208,43101.34375,60,60,72.8,121.26,생방송,잡화,해당없음,0,90144271,183892841,15716172,137,366261848,19140424,199.17,2992359,5034527,12,30990003,125,335271845,182.32,5587864,4608548,179541558,0,0,0,0,0,0,10.66,121.79,183.7,강지우,김세영,우정현,N,10410661,[신년맞이 단하루 특집구성] NEW골든벨 24K 순금 목걸이+팔찌+1g골드바세트_3,24073,수앤진골드,100119,김지나,과세,보석,보석류,귀금속,순금,1015,보석,잡화,3111305,190722_중기3팀,102636,(주)렉스다이아몬드,102647,(주)렉스다이아몬드,30048090,61297614,5238724,49.02,3330000,2797200,16,104,314765489,8,24210912,96,290554577,154298043,1000,0,513.5,473.49,0,0,0,0,0,0,N,창의혁신제품,각종특허상품,위탁매입,협력사배송,N,N,,16420732,15738274,12979396,11981056,14527729,20,24.2,7714902,6362500,1,0,,N,,,,0,0,0,0,0,0,
TV,43101.30208,43101.34375,60,60,72.8,121.26,생방송,잡화,해당없음,0,90144271,183892841,15716172,137,366261848,19140424,199.17,2992359,5034527,12,30990003,125,335271845,182.32,5587864,4608548,179541558,0,0,0,0,0,0,10.66,121.79,183.7,강지우,김세영,우정현,N,10403185,닫음[단품]수앤진골드 NEW골든벨 24K 순금 목걸이_3,24073,수앤진골드,100119,김지나,과세,보석,보석류,귀금속,순금,1015,보석,잡화,3111305,190722_중기3팀,102636,(주)렉스다이아몬드,102647,(주)렉스다이아몬드,30048090,61297614,5238724,49.02,1990000,1671600,16,15,27127275,3,5425455,12,21701820,13297790,1000,0,44.26,40.88,0,0,0,0,0,0,N,창의혁신제품,각종특허상품,위탁매입,협력사배송,N,N,,1435258,1356364,1118597,894877,1085091,20,24.2,664890,548336,2,0,,N,,,,0,0,0,0,0,0,
TV,43101.30208,43101.34375,60,60,72.8,121.26,생방송,잡화,해당없음,0,90144271,183892841,15716172,137,366261848,19140424,199.17,2992359,5034527,12,30990003,125,335271845,182.32,5587864,4608548,179541558,0,0,0,0,0,0,10.66,121.79,183.7,강지우,김세영,우정현,N,10403186,닫음[단품]수앤진골드 NEW골든벨 24K 순금 팔찌_3,24073,수앤진골드,100119,김지나,과세,보석,보석류,귀금속,순금,1015,보석,잡화,3111305,190722_중기3팀,102636,(주)렉스다이아몬드,102647,(주)렉스다이아몬드,30048090,61297614,5238724,49.02,1490000,1251600,16,18,24369084,1,1353636,17,23015448,11945725,1000,0,39.76,36.71,0,0,0,0,0,0,N,창의혁신제품,각종특허상품,위탁매입,협력사배송,N,N,,1284434,1218454,1004862,949045,1150772,20,24.2,597286,492584,3,0,,N,,,,0,0,0,0,0,0,
TV,43101.34375,43101.39236,70,70,91.8,131.19,생방송,생활용품,해당없음,0,114394316,134581548,18538950,1388,163978275,27635012,121.84,1991639,1785931,85,9898955,1303,154079320,114.49,2201657,1678119,139381534,5,610911,9,974873,1,80909,19.83,149.07,127.29,이재홍,"조근혜,김민영",정인호,N,10118414,[방송사상최저가] 마미홈폴딩선반5단+5단,35947,마미홈폴딩선반,"146,907,100,006","이서준,김의",과세,생활용품,인테리어용품,인테리어용품,공간정리대,1003,생활,생활용품,3111105,중기1팀,104360,주식회사 벤하임코리아,104363,주식회사 벤하임코리아,28598579,33645387,4634737,85,139000,103555,25.5,1016,126956911,61,7614535,955,119342376,107913374,1000,0,377.34,394.39,4,502729,5,621819,0,0,N,일반,,위탁매입,협력사배송,N,N,,21440582,7261596,5535308,5203315,6826065,17.5,23,6172357,4705012,1,0,,N,,,,0,0,0,0,0,0,
TV,43101.34375,43101.39236,70,70,91.8,131.19,생방송,생활용품,해당없음,0,114394316,134581548,18538950,1388,163978275,27635012,121.84,1991639,1785931,85,9898955,1303,154079320,114.49,2201657,1678119,139381534,5,610911,9,974873,1,80909,19.83,149.07,127.29,이재홍,"조근혜,김민영",정인호,N,10118629,[방송사상최저가] 마미홈폴딩선반5단+3단,35947,마미홈폴딩선반,"146,907,100,006","이서준,김의",과세,생활용품,인테리어용품,인테리어용품,공간정리대,1003,생활,생활용품,3111105,중기1팀,104360,주식회사 벤하임코리아,104363,주식회사 벤하임코리아,28598579,33645387,4634737,85,119000,88655,25.5,292,31276679,16,1709876,276,29566803,26585177,1000,0,92.96,96.97,1,108182,2,211300,0,0,N,일반,,위탁매입,협력사배송,N,N,,5237099,1788943,1363660,1289110,1691142,17.5,23,1520601,1159111,2,0,,N,,,,0,0,0,0,0,0,
TV,43101.34375,43101.39236,70,70,91.8,131.19,생방송,생활용품,해당없음,0,114394316,134581548,18538950,1388,163978275,27635012,121.84,1991639,1785931,85,9898955,1303,154079320,114.49,2201657,1678119,139381534,5,610911,9,974873,1,80909,19.83,149.07,127.29,이재홍,"조근혜,김민영",정인호,N,10241701,[단품]마미홈폴딩선반5단,35947,마미홈폴딩선반,"146,907,100,006","이서준,김의",과세,생활용품,인테리어용품,인테리어용품,공간정리대,1003,생활,생활용품,3111105,중기1팀,104360,주식회사 벤하임코리아,104363,주식회사 벤하임코리아,28598579,33645387,4634737,85,89000,66305,25.5,41,3312415,4,323636,37,2988779,2815553,0,0,9.85,10.28,0,0,1,80909,1,80909,N,일반,,위탁매입,협력사배송,N,N,,557551,189461,144421,130310,170950,17.5,23,161042,122758,3,0,,N,,,,0,0,0,0,0,0,
TV,43101.34375,43101.39236,70,70,91.8,131.19,생방송,생활용품,해당없음,0,114394316,134581548,18538950,1388,163978275,27635012,121.84,1991639,1785931,85,9898955,1303,154079320,114.49,2201657,1678119,139381534,5,610911,9,974873,1,80909,19.83,149.07,127.29,이재홍,"조근혜,김민영",정인호,N,10241727,[단품]마미홈폴딩선반3단,35947,마미홈폴딩선반,"146,907,100,006","이서준,김의",과세,생활용품,인테리어용품,인테리어용품,공간정리대,1003,생활,생활용품,3111105,중기1팀,104360,주식회사 벤하임코리아,104363,주식회사 벤하임코리아,28598579,33645387,4634737,85,69000,51405,25.5,39,2432270,4,250908,35,2181362,2067430,0,0,7.23,7.51,0,0,1,60845,0,0,N,일반,,위탁매입,협력사배송,N,N,,399780,139119,106047,95107,124768,17.5,23,118251,90140,4,0,,N,,,,0,0,0,0,0,0,
TV,43101.39236,43101.43403,60,60,96.7,161.02,생방송,의류,해당없음,0,120343279,214898712,20069356,876,157195958,16118406,73.15,1466348,1626165,56,10017639,820,147178319,68.49,2451610,1522534,88029736,5,901818,5,890910,0,0,18.31,80.31,74.58,강지우,김소윤,우정현,N,10249528,마담엘레강스 리버시블 구스다운 코트,36495,마담엘레강스벨벳구스다운,100336,최유진,과세,의류,여성의류,여성복,기타,1010,의류,의류,3111205,중기2팀,100641,(주)네오킴,100666,(주)네오킴,120343279,214898712,20069356,56,199000,151240,24,876,157195958,56,10017639,820,147178319,88029736,1000,0,73.15,74.58,5,901818,5,890910,0,0,N,일반,,위탁매입,협력사배송,N,N,,16118406,2618478,1626131,1522503,2451610,60,96.7,1466348,910634,1,0,,N,,,,0,0,0,0,0,0,
TV,43101.43403,43101.48611,75,75,111.5,148.79,생방송,속옷,해당없음,0,138855981,173569976,23156676,2059,147570309,21238920,85.02,1574783,1323105,48,3430918,2011,144139391,83.04,1922713,1292344,118056247,1,71727,2,142545,1,72636,17.99,91.72,86.36,오재열,"박지현B,임지원",정인호,N,10124037,[라미카] 하이웨이스트 풀커버 팬티세트,36037,라미카보정팬티F/W,100120,김승미,과세,속옷,보정,보정웨어,보정웨어하의,1014,여성속옷,언더웨어,3111205,중기2팀,102804,주식회사한가람21,102814,주식회사한가람21,138855981,173569976,23156676,80,79900,60724,24,2059,147570309,48,3430918,2011,144139391,118056247,1000,0,85.02,86.36,1,71727,2,142545,1,72636,N,일반,,위탁매입,협력사배송,N,N,,21238920,1968479,1323036,1292276,1922713,75,111.5,1574783,1058429,1,0,,N,,,,0,0,0,0,0,0,
